0,no checking account,6,no credits taken/ all credits paid back duly,domestic appliances,426,... < 100 DM,.. >= 7 years,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,409,.. >= 1000 DM ,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2415,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes
1,< 0 DM,60,delay in paying off in the past,business,6836,... < 100 DM,.. >= 7 years,3,male : single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,.. >= 1000 DM ,... < 1 year ,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,< 0 DM,24,existing credits paid back duly till now,radio/television,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,12,critical account/ other credits existing (not at this bank),business,1264,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1474,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),domestic appliances,4746,... < 100 DM,... < 1 year ,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,none,yes
0,no checking account,48,critical account/ other credits existing (not at this bank),(vacation - does not exist?),6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,>= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,domestic appliances,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,repairs,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,458,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes
0,no checking account,30,existing credits paid back duly till now,domestic appliances,2333,500 <= ... < 1000 DM ,.. >= 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
0,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1158,500 <= ... < 1000 DM ,1 <= ... < 4 years,3,male : divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,18,delay in paying off in the past,education,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes
0,< 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,none,yes
1,< 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,none,yes
0,no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
0,no checking account,36,existing credits paid back duly till now,domestic appliances,2299,500 <= ... < 1000 DM ,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM ,unemployed,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes
0,no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,if not A121 : building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes
0,no checking account,12,existing credits paid back duly till now,domestic appliances,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2333,unknown/ no savings account,... < 1 year ,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,.. >= 7 years,1,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes
0,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,1,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,.. >= 7 years,4,male : single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes
1,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,6468,unknown/ no savings account,unemployed,2,male : single,none,1,unknown / no property,52,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,36,critical account/ other credits existing (not at this bank),domestic appliances,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,.. >= 7 years,3,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,< 0 DM,36,critical account/ other credits existing (not at this bank),radio/television,6229,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,9,existing credits paid back duly till now,business,1391,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),domestic appliances,1537,unknown/ no savings account,.. >= 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,... < 100 DM,.. >= 7 years,4,male : single,none,4,unknown / no property,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,24,existing credits paid back duly till now,domestic appliances,3181,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,27,existing credits paid back duly till now,education,5190,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,4,skilled employee / official,2,"yes, registered under the customers name ",yes
0,no checking account,12,existing credits paid back duly till now,domestic appliances,2171,... < 100 DM,... < 1 year ,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,.. >= 1000 DM ,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes
1,no checking account,36,existing credits paid back duly till now,(vacation - does not exist?),1819,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,36,existing credits paid back duly till now,domestic appliances,2394,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes
0,no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1,none,yes
0,no checking account,7,critical account/ other credits existing (not at this bank),domestic appliances,730,unknown/ no savings account,.. >= 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name ",yes
0,< 0 DM,8,critical account/ other credits existing (not at this bank),furniture/equipment,1164,... < 100 DM,.. >= 7 years,3,male : single,none,4,unknown / no property,51,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes
1,< 0 DM,36,existing credits paid back duly till now,(vacation - does not exist?),1977,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,< 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1526,... < 100 DM,.. >= 7 years,4,male : single,none,4,unknown / no property,66,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,< 0 DM,42,existing credits paid back duly till now,domestic appliances,3965,... < 100 DM,... < 1 year ,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,11,delay in paying off in the past,domestic appliances,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,if not A121 : building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,none,yes
0,no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,none,yes
0,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3832,... < 100 DM,... < 1 year ,2,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,domestic appliances,5943,unknown/ no savings account,... < 1 year ,1,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",44,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM ,.. >= 7 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,18,existing credits paid back duly till now,business,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,unskilled - resident,1,none,yes
0,< 0 DM,24,existing credits paid back duly till now,furniture/equipment,1755,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
0,< 0 DM,10,existing credits paid back duly till now,domestic appliances,2315,... < 100 DM,.. >= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes
0,no checking account,12,critical account/ other credits existing (not at this bank),business,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1295,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,36,existing credits paid back duly till now,(vacation - does not exist?),12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes
0,< 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
1,< 0 DM,12,no credits taken/ all credits paid back duly,education,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,618,... < 100 DM,.. >= 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,... < 100 DM,.. >= 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes
1,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,797,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,33,bank,own,1,unskilled - resident,2,none,yes
0,>= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),radio/television,3617,unknown/ no savings account,.. >= 7 years,4,male : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,.. >= 1000 DM ,.. >= 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,... < 100 DM,... < 1 year ,3,male : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),2012,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",61,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),domestic appliances,2337,... < 100 DM,.. >= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,4,if not A121 : building society savings agreement/ life insurance,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,.. >= 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2323,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes
0,no checking account,6,delay in paying off in the past,domestic appliances,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,1919,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year ,2,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
1,no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,.. >= 7 years,2,male : single,none,4,unknown / no property,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,24,existing credits paid back duly till now,radio/television,7721,unknown/ no savings account,... < 1 year ,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",no
0,0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM ,.. >= 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,6,delay in paying off in the past,business,1449,100 <= ... < 500 DM,.. >= 7 years,1,male : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,none,yes
0,>= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,(vacation - does not exist?),392,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes
1,no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,< 0 DM,12,existing credits paid back duly till now,domestic appliances,1680,500 <= ... < 1000 DM ,.. >= 7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes
0,no checking account,48,critical account/ other credits existing (not at this bank),domestic appliances,3578,unknown/ no savings account,.. >= 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,< 0 DM,42,existing credits paid back duly till now,domestic appliances,7174,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,< 0 DM,10,critical account/ other credits existing (not at this bank),radio/television,2132,unknown/ no savings account,... < 1 year ,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no
1,< 0 DM,33,critical account/ other credits existing (not at this bank),radio/television,4281,500 <= ... < 1000 DM ,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM ,4 <= ... < 7 years,3,male : divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,< 0 DM,21,existing credits paid back duly till now,domestic appliances,1835,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,12,existing credits paid back duly till now,radio/television,1768,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,.. >= 7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes
